time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,num_schools,headcount,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate
Academic year,200607,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,state-funded secondary,8,8611,15,0.1742,1314,15.25955,701,8.14075
Academic year,200607,Local authority,E92000001,England,E12000002,North West,890,E06000009,Blackpool,Total,40,20525,17,0.08283,1534,7.47381,814,3.9659
Academic year,200607,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,state-funded primary,279,39028,3,0.00769,243,0.62263,132,0.33822
Academic year,200607,Local authority,E92000001,England,E12000002,North West,909,E10000006,Cumbria,Total,326,74807,28,0.03743,3909,5.22545,2071,2.76846
Academic year,200607,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,370,E08000016,Barnsley,Total,98,33808,5,0.01479,1639,4.84796,826,2.44321
Academic year,200607,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,373,E08000019,Sheffield,state-funded secondary,27,31261,12,0.03839,5351,17.11717,2738,8.75852
Academic year,200607,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,state-funded primary,158,51571,4,0.00776,565,1.09558,283,0.54876
Academic year,200607,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,380,E08000032,Bradford,state-funded secondary,29,35133,61,0.17363,4967,14.13771,2712,7.71924
Academic year,200607,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,810,E06000010,"Kingston upon Hull, City of",special,6,564,0,0,79,14.00709,24,4.25532
Academic year,200607,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,special,2,262,0,0,13,4.96183,9,3.43511
Academic year,200607,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,state-funded secondary,13,10644,20,0.1879,1187,11.15182,588,5.52424
Academic year,200607,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,812,E06000012,North East Lincolnshire,Total,75,24614,23,0.09344,1344,5.46031,670,2.72203
Academic year,200607,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,special,2,220,0,0,23,10.45455,11,5
Academic year,200607,Local authority,E92000001,England,E12000003,Yorkshire and The Humber,813,E06000013,North Lincolnshire,state-funded primary,66,13779,0,0,244,1.77081,111,0.80557
Academic year,200607,Local authority,E92000001,England,E12000001,North East,390,E08000020,Gateshead,Total,90,29078,43,0.14788,809,2.78217,512,1.76078
Academic year,200607,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,special,7,607,0,0,62,10.21417,30,4.94234
